Key,AlertCategory,DateOfResponse,TimeOfResponse,DateOfCrime,TimeOfCrime,CrimeCategory,LocationOfCrime,SuspectDescription,SuspectInCustody,Update,Link,MapGroup,coords,latitude,longitude,quarter
30,Timely Warning,2021-10-06,4:00 PM,,,Aggravated Assault,Campus Point Parking Structure,Yes,No,,https://adminrecords.ucsd.edu/Notices/2021/2021-10-6-4.html,UC San Diego Health System,"(32.87802740143928, -117.2261369715337)",32.87802740143928,-117.2261369715337,FA2021
31,Timely Warning,2021-11-07,6:50 PM,11/7/2021,04:15 PM,Attempted Burglary,Seventh College,No,No,,https://adminrecords.ucsd.edu/Notices/2021/2021-11-8-3.html,Seventh,"(32.88795824589793, -117.24223949298532)",32.88795824589793,-117.24223949298532,FA2021
32,Timely Warning,2021-11-11,5:30 PM,,,Attempted Motor Vehicle Theft,Campus Point Parking Structure,Yes,No,,https://adminrecords.ucsd.edu/Notices/2021/2021-11-11-2.html,UC San Diego Health System,"(32.87802740143928, -117.2261369715337)",32.87802740143928,-117.2261369715337,FA2021
33,Timely Warning,2021-11-23,4:53 PM,11/23/2021,03:00 PM,Stalking,Sixth College,Yes,No,,https://adminrecords.ucsd.edu/Notices/2021/2021-11-24-5.html,Sixth,"(32.88039605707939, -117.24240926283937)",32.88039605707939,-117.24240926283937,FA2021
34,Timely Warning,2021-11-30,3:43 PM,11/30/2021,11:15 AM,Burglary,,No,No,,https://adminrecords.ucsd.edu/Notices/2021/2021-11-30-5.html,,,,,FA2021
35,Timely Warning,,,,,Burglary,,,,34.0,https://adminrecords.ucsd.edu/Notices/2021/2021-12-1-5.html,,,,,
36,Timely Warning,2022-01-19,10:00 AM,1/19/2022,06:10 AM,Burglary,Latin America Hall,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-1-19-2.html,ERC,"(32.8854805949752, -117.24241102499364)",32.8854805949752,-117.24241102499364,WI2022
37,Timely Warning,2022-01-21,12:10 PM,1/20/2022,12:00 PM,Burglary,Tioga Hall,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-1-21-7.html,Muir,"(32.87897500681861, -117.242233264698)",32.87897500681861,-117.242233264698,WI2022
38,Timely Warning,2022-01-27,8:51 PM,1/27/2022,08:15 PM,Burglary,Marshall Lower Apartments,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-1-28-2.html,Marshall,"(32.88322745763785, -117.242352818566)",32.88322745763785,-117.242352818566,WI2022
39,Timely Warning,2022-02-17,10:21 AM,2/16/2022,06:15 AM,Arson,York Hall,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-2-17-3.html,Revelle,"(32.874775437274074, -117.24184346833931)",32.874775437274074,-117.24184346833931,WI2022
40,Timely Warning,2022-02-17,5:58 PM,2/17/2022,,Attempted E-Bike / Motor Vehicle Theft,Warren Lecture Hall,Yes,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-2-17-4.html,Warren,"(32.881253575132405, -117.23466260598113)",32.881253575132405,-117.23466260598113,WI2022
41,Timely Warning,2022-02-23,6:50 PM,2/23/2022,,Motor Vehicle Theft,La Jolla Trolley Platform,Yes,Yes,,https://adminrecords.ucsd.edu/Notices/2022/2022-2-23-3.html,UC Health Trolley Station,"(32.881814209320716, -117.22354628116906)",32.881814209320716,-117.22354628116906,WI2022
42,Reissued 2021 UC San Diego Annual Security and Fire Safety Report,2022-03-04,,,,Reissued 2021 UC San Diego Annual Security and Fire Safety Report - Updated Policies,,,,,https://adminrecords.ucsd.edu/Notices/2022/2022-3-4-2.html,,,,,WI2022
43,Timely Warning,2022-03-08,5:17 PM,3/6/2022,01:00 AM,Sexual Assault,Revelle College,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-3-8-3.html,Revelle,"(32.874775437274074, -117.24184346833931)",32.874775437274074,-117.24184346833931,WI2022
44,Timely Warning,2022-03-16,11:01 AM,3/16/2022,06:30 AM,Burglary,Mesa Housing,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-3-16-2.html,Mesa Graduate Housing,"(32.87502265717985, -117.22292759641547)",32.87502265717985,-117.22292759641547,WI2022
45,Community Alert Bulletin,2022-03-22,7:09 PM,3/22/2022,07:05 PM,Indecent Exposure,School of Medicine - Holly Building,Yes,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-3-22-4.html,UCSD School of Medicine,"(32.874277832276334, -117.2354855752366)",32.874277832276334,-117.2354855752366,WI2022
46,Timely Warning,2022-04-14,7:22 PM,4/14/2022,06:30 PM,Robbery,Central Campus Trolley Station,Yes,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-4-14-5.html,Central Campus Trolley Station,"(32.87830699468673, -117.23185272044901)",32.87830699468673,-117.23185272044901,SP2022
